airline_sentiment,text
positive," not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive, awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral," Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
neutral, first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative, what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
neutral, what happened to Doom?!
negative, why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
positive, I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
negative, you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative, I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
negative, it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative, I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
neutral, Can't bring up my reservation online using Flight Booking Problems code
neutral, Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
neutral, I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
negative, Why is the site down?  When will it be back up?
neutral," ""You down with RNP?"" ""Yeah you know me!"""
neutral," hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative, I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative," just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
neutral, why is flight 345 redirected?
negative," Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
negative, I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative, - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative, What is your phone number. I can't find who to call about a flight reservation.
negative, is anyone doing anything there today?  Website is useless and no one is answering the phone.
neutral, trying to add my boy Prince to my ressie. SF this Thursday  from LAX http://t.co/GsB2J3c4gM
negative, why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
neutral, check out new music http://t.co/maRcnOCWzn
negative, how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
negative, your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
positive," - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative, called your service line and was hung up on. This is awesome. #sarcasm
negative, your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
neutral, I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
positive," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
neutral," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
positive," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
neutral," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
positive, Have a great week 🌞✈
positive, come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
negative," should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive," is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive, and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive, your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive," Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative, Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative," And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
negative, I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive, thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive, you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
neutral," Do you provide complimentary upgrades to first class, if there are available seats?"
negative, i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive, completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
neutral, How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
neutral, is flight 882 Cancelled Flightled and what do I do if it is?
negative, you are failing your customers because your check in process does not link to TSA pre-check.
negative, @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
neutral, has flight number 276 from SFO to Cabo San Lucas arrived yet?
negative, @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
negative, Another delayed flight? #likingyoulessandless
negative, I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
neutral,", @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
positive, always!!! Xoxo
negative, why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative, You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
positive, best customer service rep in the world! #irmafromDallas takes the cake!!!
neutral, Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
negative, please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive, you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
negative," I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative, question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive, #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,. I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,. does that mean you don't have a policy for destroyed luggage?
neutral, is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
positive, thank you for checking in. tickets are purchased and customer is happy ;-)
neutral, is your website ever coming back online?
neutral,"  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
neutral, Is flight 0769 out of LGA to DFW on time?
neutral, my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative, having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
negative, How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative," I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
negative," got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative," our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative, why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative, is the website down?
negative, - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative, I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
neutral, Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
negative, Is it normal to receive no reply from Central Baggage #baggageissues #smh
negative, at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
neutral, to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
neutral," Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
neutral, Lister to my show my on Monday 1230 130
neutral, to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
negative," congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
neutral, I'd love to know what your policy is for damaged luggage.
positive, Thank you for the follow
negative, - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative, shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral, @TTINAC11 I DM you
neutral, can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
negative, too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative, Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive,😎 RT : You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive, Only way to fly! #Elevate #Gold
neutral, If only you guys had flights from CMH.
negative," a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative,  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
neutral, Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive, you will match my #AmericanAirlines status? Cool!
neutral,“:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
negative, trying to book a flight with you guys and your website won't let me... about to lose my business
negative, you suck!
positive, thanks!
negative, Just DM'd. Same issue persisting.
negative, Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative, trying to book a flight &amp; your site is down 😁
negative, You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative, you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
positive, I love your guy's song! We're dancing to it for our high school dance revue
negative, Your website is down and I'm trying to check in!
positive," done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral, nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
positive, cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive, Keep up the great work :)
positive, my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive, Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
neutral, can you please get me to the new york area before monday afternoon
positive," Thanks so much for the awesome support, you guys rock!"
negative, seats in Row 8 don't recline should mention that on your website #soreback
negative, flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative, why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
positive, twitter team. you guys killed it for rescheduling me asap. thank you!
negative, You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative, can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
neutral," on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
negative," your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
negative, I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative," why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative, I did it but there was a problem in the link from the email for check-in. thanks
negative, had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative, I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive, wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
negative,  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
neutral," it’s just a bug report, guys"
negative, hold times at call center are a bit much
positive, Like http://t.co/VPqEm31XUQ
negative, Site down? #help
positive, You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,"Awesome! RT : Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive, thanks so much!
negative," Trying to reset my password, email never arrives. Help?"
positive,", the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive, Very nicely done. 👏
positive, I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative, What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
negative," is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive, hahaha 😂 YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive, sounds like fun !
neutral, any updates on flight 413 from Jfk &gt; Lax
neutral, spruce moose!
negative," the CSS on your site is a 404 right now, please fix. Site unusable."
negative," We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive," classiq, luv Virgin America. Greetingz"
negative," Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive, thanks guys! Sweet route over the Rockies #airplanemodewason
positive, love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative," - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
negative, current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative, luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive," thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
neutral," If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
positive, Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
neutral," beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
neutral, any plans to start flying direct from DAL to LAS?
neutral, BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
positive,", you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative, requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
neutral, Grand Budapest Hotel #OscarsCountdown
neutral, This is what you missed @NewsVP. Next trip to the 407.
negative, #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
negative, there is something wrong with you website in Safari iPhone
negative, Already checked in so the page expired :X
negative, Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
neutral, shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
neutral, Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
positive, I see what you did there ;)
neutral, way to take advantage of #MayweatherPacquiao :)
neutral, you know I'm flying virgin for the fight #MayweatherPacquiao
positive, your inflight team makes the experience #amazing!
positive, cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
negative," moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
neutral, shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
positive, fav airline
positive, we have a hot female pilot! Sweet! DCA to SFO! :-)
neutral,👍👍✈️✈️💗 When are you guys going to start flying to Paris? : @LizaUtter You're welcome.”
neutral, what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
negative, already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
positive, Thank you!!
negative, Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
neutral, I think i left something on the plane yesterday. who do i call...ah!
neutral, I need you to follow back in order to DM.
neutral, Need to start flying to @KCIAirport .  😊😀😃😄
neutral, they told to check with the airline regulation first so that is why I contacted you.
negative, @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
negative, husband and I ordered three drinks via my screen and they never came. Awesome!
negative, soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
neutral, what is your policy on flying after surgery?
neutral, posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
negative," Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
positive, would love to do more for virgin just like I do for @GoPro
neutral, Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
neutral," I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
neutral, achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
neutral," gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ"
negative, I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
neutral, weather delays &gt; next few weeks ;) #JFK #BOS #DCA
neutral, @madbee95 check the website before you go to the airport!
negative, Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
neutral, pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
positive, loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
negative, The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive, Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive," I mean. Probably inappropriate while on board.. But, it's on!"
positive, happy to spend the day together. Let's do this!
neutral, is saving my sanity right now: http://t.co/ELtBOLjUl9
neutral, missed my flight. How does standby work?
positive,. They were very understanding and helped me out.  Thx! #Comps
neutral, brought it all the way across the country today I see http://t.co/TKaUyGcPmS
positive, thank you! I absolutely will 😎
negative, Looks like a broken link for your assets https://t.co/OArDjjGrrD
neutral, are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘
negative, the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
negative," can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
neutral, may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel
negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
negative, WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
neutral, add DTW and I'm sold!
positive, How about some free drinks on the flight back for the free promo?
positive, @SSal thanks!
neutral, momma I made it! 😁😁😁
neutral, please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.
neutral, help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!
negative," my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
neutral, Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks
positive, thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive, Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
negative, I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
negative," Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
neutral," Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd"
negative, Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
neutral, is my new go to airline
positive," I adore you, and am so looking forward to my flight to Austin in two weeks."
positive, I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
neutral, Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica
negative, trying to check-in...but looks like your site is down?
negative, Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive," first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
negative," seriously, though. will there not be direct flights from SFO-FLL in may???"
negative, It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
negative," not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
negative,"
wjere is our luggage #so slow at lax"
neutral, to jump into the #Dallas #Austin market http://t.co/SzR0pioA21
negative," I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
negative, I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative," what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
neutral,.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
neutral, partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa
positive," just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
positive," love you guys, but pls get some direct routes LAS to AUS!"
neutral, i would like help with some flights please.
neutral,Bruh “: @giannilee Turn down for what. #VXSafetyDance”
positive, of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive, ok! first time flying with you tonight :)
neutral, Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!
neutral," Done, but I need the receipt ASAP. Could you please help? #150219-000114"
negative," I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative, on VX399 from JFK to LA - dirty plane - not up to your standards.
negative, on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
positive, got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
negative, your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
negative, delayed to10.30!!
negative, currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
neutral," Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift"
positive,“: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
positive,  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
negative, Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
neutral," I just did, how can I DM? Do u have to also add me?"
positive," For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive, Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
neutral," Anytime, sugafly."
positive, gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
neutral, I need a receipt for a flight change. Can you send one?
