airline_sentiment,airline_sentiment_confidence,airline,retweet_count,text
neutral,1.0,Virgin America,0,@virginamerica @ladygaga @carrieunderwood after last night #tribute #soundofmusic #oscars2015 @ladygaga! i think @carrieunderwood agree
neutral,0.6436,Virgin America,0,@virginamerica @ladygaga @carrieunderwood all were entertaining
neutral,0.6764,Virgin America,0,"@virginamerica is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks."
positive,0.657,Virgin America,0,@virginamerica @ladygaga @carrieunderwood julie andrews all the way though @ladygaga was very impressive! no to @carrieunderwood
neutral,1.0,Virgin America,0,@virginamerica wish you flew out of atlanta... soon?
neutral,0.7118,Virgin America,0,@virginamerica @ladygaga @carrieunderwood julie andrews. hands down.
neutral,1.0,Virgin America,0,@virginamerica will flights be leaving dallas for la on february 24th?
negative,0.6939,Virgin America,0,@virginamerica hi! i'm so excited about your $99 lga-&gt;dal deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive,1.0,Virgin America,0,@virginamerica you know it. need it on my spotify stat #guiltypleasures
positive,0.635,Virgin America,0,@virginamerica @ladygaga @carrieunderwood  i'm lady gaga!!! she is amazing! 😊
neutral,0.7007,Virgin America,0,@virginamerica @ladygaga @carrieunderwood - carrie!
neutral,1.0,Virgin America,0,@virginamerica new marketing song? https://t.co/f2lfulcbq7 let us know what you think?
neutral,1.0,Virgin America,0,@virginamerica @ladygaga @carrieunderwood julie andrews first but lady gaga wow'd me last night. carrie? meh.
negative,1.0,Virgin America,0,@virginamerica i called a 3-4 weeks ago about adding 3 flights from 2014 to my elevate...they still haven't shown up...help!
neutral,0.6858,Virgin America,0,"@virginamerica @ladygaga @carrieunderwood all are great , but i have to go with #carrieunderwood 😍👌"
neutral,1.0,Virgin America,0,"@virginamerica @ladygaga @carrieunderwood sorry, mary martin had it first!"
positive,1.0,Virgin America,0,@virginamerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
neutral,0.6814,Virgin America,0,@virginamerica flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.
negative,1.0,Virgin America,0,@virginamerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative,1.0,Virgin America,0,"@virginamerica hi, virgin! i'm on hold for 40-50 minutes -- are there any earlier flights from la to nyc tonight; earlier than 11:50pm?"
positive,0.6922,Virgin America,0,@virginamerica congrats on winning the @travelzoo award for best deals from an airline (us) http://t.co/kj1iljaebv
negative,1.0,Virgin America,0,@virginamerica everything was fine until you lost my bag
neutral,1.0,Virgin America,0,@virginamerica need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?
neutral,0.6492,Virgin America,0,@virginamerica i emailed your customer service team. let me know if you need the tracking number.
neutral,1.0,Virgin America,0,"@virginamerica hi i just booked a flight but need to add baggage, how can i do this?"
negative,1.0,Virgin America,0,@virginamerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0vrfhjht
positive,1.0,Virgin America,0,"@virginamerica not worried, it's been a great ride in a new plane with great crew. all airlines should be like this."
positive,1.0,Virgin America,0,@virginamerica awesome. i flew yall sat morning. any way we can correct my bill ?
neutral,1.0,Virgin America,0,"@virginamerica or watch some of the best student films in the country at 35,000 feet! #cmfat35000feet http://t.co/kek5pdmgif"
neutral,1.0,Virgin America,0,@virginamerica first time flying you all. do you have a different rate/policy for media bags? thanks
negative,1.0,Virgin America,0,@virginamerica what is going on with customer service? is there anyway to speak to a human asap? thank you.
neutral,1.0,Virgin America,0,@virginamerica what happened to doom?!
negative,1.0,Virgin America,0,@virginamerica why can't you supp the biz traveler like @southwestair  and have customer service like @jetblue #neverflyvirginforbusiness
positive,1.0,Virgin America,0,@virginamerica i've applied more then once to be a member of the #inflight crew team...im 100% interested. #flightattendant #dreampath -g
negative,0.6792,Virgin America,0,@virginamerica you're the best!! whenever i (begrudgingly) use any other airline i'm delayed and late flight :(
negative,1.0,Virgin America,0,@virginamerica i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.#neverflyvirginforbusiness
negative,1.0,Virgin America,0,@virginamerica it was a disappointing experience which will be shared with every business traveler i meet. #neverflyvirgin
negative,1.0,Virgin America,0,@virginamerica i’m having trouble adding this flight my wife booked to my elevate account. help? http://t.co/px8hqoks3r
neutral,0.6705,Virgin America,0,@virginamerica can't bring up my reservation online using flight booking problems code
neutral,1.0,Virgin America,0,@virginamerica random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share http://t.co/aptzpurop4
neutral,0.6545,Virgin America,0,@virginamerica i &lt;3 flying va but life happens and i am trying to #change my trip jperhi  can you help.va home page will not let me ?
negative,1.0,Virgin America,0,@virginamerica why is the site down?  when will it be back up?
neutral,1.0,Virgin America,0,"@virginamerica ""you down with rnp?"" ""yeah you know me!"""
neutral,0.6639,Virgin America,0,"@virginamerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative,1.0,Virgin America,0,@virginamerica i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .
negative,1.0,Virgin America,0,"@virginamerica just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly #nomorevirgin"
neutral,0.6765,Virgin America,0,@virginamerica why is flight 345 redirected?
negative,1.0,Virgin America,0,"@virginamerica is it me, or is your website down?  btw, your new website isn't a great user experience.  time for another redesign."
negative,1.0,Virgin America,0,@virginamerica i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile http://t.co/avyqdmpi1y
negative,1.0,Virgin America,0,@virginamerica - let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative,1.0,Virgin America,0,@virginamerica what is your phone number. i can't find who to call about a flight reservation.
negative,1.0,Virgin America,0,@virginamerica is anyone doing anything there today?  website is useless and no one is answering the phone.
neutral,1.0,Virgin America,0,@virginamerica trying to add my boy prince to my ressie. sf this thursday @virginamerica from lax http://t.co/gsb2j3c4gm
negative,1.0,Virgin America,0,@virginamerica why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business. #sfo2lax
neutral,1.0,Virgin America,0,@virginamerica check out new music http://t.co/marcnocwzn
negative,0.6925,Virgin America,0,@virginamerica how's a direct flight fll-&gt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. #sneaky
negative,1.0,Virgin America,0,@virginamerica your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.
positive,1.0,Virgin America,0,"@virginamerica - amazing customer  service, again! 💕💕 raeann in sf - she's the best! #customerservice #virginamerica #flying"
negative,1.0,Virgin America,0,@virginamerica called your service line and was hung up on. this is awesome. #sarcasm
negative,1.0,Virgin America,0,@virginamerica your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.
neutral,0.6593,Virgin America,0,@virginamerica i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?
positive,0.6823,Virgin America,0,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/tzzjhuibch #cheapflights #farecompare"
neutral,1.0,Virgin America,0,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/rpdbpx3wnd #cheapflights #farecompare"
positive,0.6806,Virgin America,0,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/b2xi4yg5t8 #cheapflights #farecompare"
neutral,0.6529,Virgin America,0,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/qdljhsloi5 #cheapflights #farecompare"
positive,0.6779999999999999,Virgin America,0,@virginamerica have a great week 🌞✈
positive,0.3482,Virgin America,0,@virginamerica come back to #phl already. we need you to take us out of this horrible cold. #pleasecomeback http://t.co/glxfwp6nqh
negative,1.0,Virgin America,0,"@virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive,1.0,Virgin America,0,"@virginamerica is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,1.0,Virgin America,0,@virginamerica and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!
positive,1.0,Virgin America,0,@virginamerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive,1.0,Virgin America,0,"@virginamerica love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining"
negative,0.6832,Virgin America,0,@virginamerica use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,1.0,Virgin America,0,"@virginamerica and now the flight flight booking problems site is totally down. folks, what is the problem?"
negative,1.0,Virgin America,0,@virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long. va370
positive,1.0,Virgin America,0,@virginamerica thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!
positive,1.0,Virgin America,0,@virginamerica you have the absolute best team and customer service ever.  every time i fly with you i'm delighted.  thank you!
neutral,1.0,Virgin America,0,"@virginamerica do you provide complimentary upgrades to first class, if there are available seats?"
negative,0.6703,Virgin America,0,@virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!
positive,1.0,Virgin America,0,@virginamerica completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. #vabeatsjblue
neutral,1.0,Virgin America,0,@virginamerica how can i watch the #oscars2015 on my jfk-&gt;sfo flight?
neutral,0.6535,Virgin America,0,@virginamerica is flight 882 cancelled flightled and what do i do if it is?
negative,1.0,Virgin America,0,@virginamerica you are failing your customers because your check in process does not link to tsa pre-check.
negative,1.0,Virgin America,0,@virginamerica @fidifamilies us too! terrible airline! just gave us a hotel hotline number and said sorry
neutral,1.0,Virgin America,0,@virginamerica has flight number 276 from sfo to cabo san lucas arrived yet?
negative,1.0,Virgin America,0,@virginamerica @chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!
negative,1.0,Virgin America,0,@virginamerica another delayed flight? #likingyoulessandless
negative,1.0,Virgin America,0,@virginamerica i need to register a service dog for a first class ticket from sfo &gt; dulles. the phone queue is an hour or longer. pls advise
neutral,1.0,Virgin America,0,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
positive,0.7011,Virgin America,0,@VirginAmerica always!!! Xoxo
negative,1.0,Virgin America,0,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative,0.6543,Virgin America,0,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
positive,1.0,Virgin America,0,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
neutral,0.355,Virgin America,0,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
negative,0.6889,Virgin America,0,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive,1.0,Virgin America,0,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
negative,1.0,Virgin America,0,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative,0.679,Virgin America,0,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive,1.0,Virgin America,0,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,1.0,Virgin America,0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,1.0,Virgin America,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
neutral,1.0,Virgin America,0,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
positive,1.0,Virgin America,0,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
neutral,1.0,Virgin America,0,@VirginAmerica is your website ever coming back online?
neutral,0.6732,Virgin America,0,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
neutral,1.0,Virgin America,0,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
neutral,1.0,Virgin America,0,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative,1.0,Virgin America,0,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
negative,0.6593,Virgin America,0,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative,1.0,Virgin America,0,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
negative,1.0,Virgin America,0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative,1.0,Virgin America,0,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative,1.0,Virgin America,0,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative,0.6517,Virgin America,0,@VirginAmerica is the website down?
negative,0.68,Virgin America,0,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative,1.0,Virgin America,0,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
neutral,1.0,Virgin America,0,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
negative,1.0,Virgin America,0,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
negative,1.0,Virgin America,0,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
neutral,1.0,Virgin America,0,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
neutral,1.0,Virgin America,0,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
neutral,1.0,Virgin America,0,@VirginAmerica Lister to my show my on Monday 1230 130
neutral,1.0,Virgin America,0,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
negative,1.0,Virgin America,0,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,1.0,Virgin America,0,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
neutral,0.6816,Virgin America,0,@VirginAmerica I'd love to know what your policy is for damaged luggage.
positive,1.0,Virgin America,0,@VirginAmerica Thank you for the follow
negative,1.0,Virgin America,0,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative,1.0,Virgin America,0,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral,0.6701,Virgin America,0,@VirginAmerica @TTINAC11 I DM you
neutral,0.6942,Virgin America,0,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
negative,1.0,Virgin America,0,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative,0.6791,Virgin America,0,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive,0.3579,Virgin America,0,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive,1.0,Virgin America,0,@VirginAmerica Only way to fly! #Elevate #Gold
neutral,0.653,Virgin America,0,@VirginAmerica If only you guys had flights from CMH.
negative,1.0,Virgin America,0,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative,1.0,Virgin America,0,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
neutral,0.6743,Virgin America,0,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive,0.6783,Virgin America,0,@VirginAmerica you will match my #AmericanAirlines status? Cool!
neutral,0.6863,Virgin America,0,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
negative,1.0,Virgin America,0,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,1.0,Virgin America,0,@VirginAmerica you suck!
positive,1.0,Virgin America,0,@VirginAmerica thanks!
negative,1.0,Virgin America,0,@VirginAmerica Just DM'd. Same issue persisting.
negative,1.0,Virgin America,0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,1.0,Virgin America,0,@VirginAmerica trying to book a flight &amp; your site is down 😁
negative,0.7158,Virgin America,0,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative,1.0,Virgin America,0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
positive,1.0,Virgin America,0,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
negative,1.0,Virgin America,0,@VirginAmerica Your website is down and I'm trying to check in!
positive,1.0,Virgin America,0,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral,0.6809,Virgin America,0,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
positive,1.0,Virgin America,0,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive,1.0,Virgin America,0,@VirginAmerica Keep up the great work :)
positive,1.0,Virgin America,0,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive,0.6775,Virgin America,0,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
neutral,1.0,Virgin America,0,@VirginAmerica can you please get me to the new york area before monday afternoon
positive,1.0,Virgin America,0,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
negative,0.7053,Virgin America,0,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
negative,1.0,Virgin America,0,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative,0.642,Virgin America,0,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
positive,0.6667,Virgin America,0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative,1.0,Virgin America,0,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,1.0,Virgin America,0,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
neutral,0.634,Virgin America,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
negative,0.6990000000000001,Virgin America,0,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
negative,0.664,Virgin America,0,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative,1.0,Virgin America,0,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,1.0,Virgin America,0,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
negative,1.0,Virgin America,0,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative,1.0,Virgin America,0,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive,0.6522,Virgin America,0,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive,1.0,Virgin America,0,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
negative,1.0,Virgin America,0,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
neutral,1.0,Virgin America,0,"@VirginAmerica it’s just a bug report, guys"
negative,1.0,Virgin America,0,@VirginAmerica hold times at call center are a bit much
positive,0.7081,Virgin America,0,@VirginAmerica Like http://t.co/VPqEm31XUQ
negative,0.6455,Virgin America,0,@VirginAmerica Site down? #help
positive,1.0,Virgin America,0,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,0.6899,Virgin America,0,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,1.0,Virgin America,0,@VirginAmerica thanks so much!
negative,0.6701,Virgin America,0,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive,0.6575,Virgin America,0,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive,1.0,Virgin America,0,@VirginAmerica Very nicely done. 👏
positive,0.6701,Virgin America,0,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative,0.6489,Virgin America,0,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
negative,0.6786,Virgin America,0,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive,1.0,Virgin America,0,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,1.0,Virgin America,0,@VirginAmerica sounds like fun !
neutral,1.0,Virgin America,0,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
neutral,1.0,Virgin America,0,@virginamerica spruce moose!
negative,1.0,Virgin America,0,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
negative,0.6473,Virgin America,0,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive,0.6771,Virgin America,0,"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative,0.6636,Virgin America,0,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive,1.0,Virgin America,0,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,1.0,Virgin America,0,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
positive,1.0,Virgin America,0,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative,0.6706,Virgin America,0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
